Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,1460,0,128,2510,0.767668872977057
2,1688,0,128,2720,0.45512582339845575
3,984,0,128,1700,0.33198854607010114
4,276,0,32,780,0.2831173540916025
5,1720,0,128,2750,0.16785104025337183
6,1364,0,128,2380,0.10727601332685978
7,752,0,64,1560,0.07919789069683544
8,1520,0,128,2380,0.04986180489628899
9,2588,0,256,3200,0.02621391420650837
10,4,999,4,-4994900,0.00999258133189499
11,1164,0,128,2040,0.00999258133189499
12,948,0,64,1750,0.00999258133189499
13,924,0,64,1750,0.00999258133189499
14,1516,0,128,2640,0.00999258133189499
15,840,0,64,1690,0.00999258133189499
16,1560,0,128,2500,0.00999258133189499
17,2152,0,256,3050,0.00999258133189499
18,488,0,64,1140,0.00999258133189499
19,2636,0,256,3840,0.00999258133189499
20,20,991,8,-4915140,0.00999258133189499
21,256,0,32,740,0.00999258133189499
22,992,0,64,1870,0.00999258133189499
23,308,0,32,690,0.00999258133189499
24,844,0,64,1560,0.00999258133189499
25,720,0,64,1640,0.00999258133189499
26,680,0,64,1250,0.00999258133189499
27,852,0,64,1580,0.00999258133189499
28,328,0,32,750,0.00999258133189499
29,244,0,32,750,0.00999258133189499
30,8,998,8,-4984910,0.00999258133189499
31,1276,0,128,1980,0.00999258133189499
32,1332,0,128,2100,0.00999258133189499
33,756,0,64,1590,0.00999258133189499
34,2212,0,256,2930,0.00999258133189499
35,1368,0,128,2060,0.00999258133189499
36,680,0,64,1530,0.00999258133189499
37,1884,0,128,2930,0.00999258133189499
38,1360,0,128,2240,0.00999258133189499
39,2484,0,256,3420,0.00999258133189499
40,60,981,8,-4816380,0.00999258133189499
41,1024,0,128,1900,0.00999258133189499
42,704,0,64,1370,0.00999258133189499
43,1268,0,128,2080,0.00999258133189499
44,816,0,64,1690,0.00999258133189499
45,1696,0,128,2480,0.00999258133189499
46,1000,0,64,1630,0.00999258133189499
47,1576,0,128,2540,0.00999258133189499
48,2084,0,256,2730,0.00999258133189499
49,1404,0,128,2370,0.00999258133189499
50,0,1000,0,-5005000,0.00999258133189499
51,1216,0,64,2050,0.00999258133189499
52,1768,0,128,3020,0.00999258133189499
53,1256,0,128,2020,0.00999258133189499
54,2216,0,128,3480,0.00999258133189499
55,764,0,64,1570,0.00999258133189499
56,1016,0,64,1820,0.00999258133189499
57,724,0,64,1480,0.00999258133189499
58,1764,0,128,2680,0.00999258133189499
59,1528,0,128,2430,0.00999258133189499
60,0,1000,0,-5005000,0.00999258133189499
61,1936,0,128,3010,0.00999258133189499
62,820,0,64,1540,0.00999258133189499
63,492,0,64,980,0.00999258133189499
64,424,0,32,1040,0.00999258133189499
65,704,0,64,1330,0.00999258133189499
66,1548,0,128,2540,0.00999258133189499
67,1288,0,128,1920,0.00999258133189499
68,364,0,32,910,0.00999258133189499
69,3136,0,256,4220,0.00999258133189499
70,4,998,4,-4984910,0.00999258133189499
71,1096,0,128,1950,0.00999258133189499
72,752,0,64,1680,0.00999258133189499
73,1652,0,128,2900,0.00999258133189499
74,1240,0,128,2180,0.00999258133189499
75,2388,0,256,3180,0.00999258133189499
76,1452,0,128,2390,0.00999258133189499
77,264,0,32,690,0.00999258133189499
78,520,0,32,1030,0.00999258133189499
79,620,0,64,1370,0.00999258133189499
80,0,1000,0,-5005000,0.00999258133189499
81,1172,0,128,2010,0.00999258133189499
82,696,0,64,1350,0.00999258133189499
83,344,0,32,900,0.00999258133189499
84,992,0,64,1730,0.00999258133189499
85,1436,0,128,2370,0.00999258133189499
86,1216,0,64,2140,0.00999258133189499
87,688,0,64,1290,0.00999258133189499
88,576,0,64,1180,0.00999258133189499
89,1200,0,128,2140,0.00999258133189499
90,0,1000,0,-5005000,0.00999258133189499
91,1736,0,128,2990,0.00999258133189499
92,1344,0,128,2050,0.00999258133189499
93,1208,0,128,2040,0.00999258133189499
94,2188,0,256,2910,0.00999258133189499
95,644,0,64,1170,0.00999258133189499
96,2312,0,256,3350,0.00999258133189499
97,1484,0,128,2230,0.00999258133189499
98,1524,0,128,2350,0.00999258133189499
99,848,0,64,1680,0.00999258133189499
100,4,999,4,-4994900,0.00999258133189499
101,736,0,64,1560,0.00999258133189499
102,944,0,64,1580,0.00999258133189499
103,700,0,64,1530,0.00999258133189499
104,1548,0,128,2610,0.00999258133189499
105,804,0,64,1650,0.00999258133189499
106,680,0,64,1400,0.00999258133189499
107,1060,0,64,1720,0.00999258133189499
108,1448,0,128,2280,0.00999258133189499
109,884,0,64,1730,0.00999258133189499
110,4,997,4,-4974930,0.00999258133189499
111,732,0,64,1600,0.00999258133189499
112,412,0,32,950,0.00999258133189499
113,1000,0,64,1780,0.00999258133189499
114,1084,0,64,1910,0.00999258133189499
115,2464,0,256,3460,0.00999258133189499
116,1320,0,128,2270,0.00999258133189499
117,1136,0,128,1830,0.00999258133189499
118,604,0,64,1420,0.00999258133189499
119,408,0,32,1000,0.00999258133189499
120,4,996,4,-4964960,0.00999258133189499
121,612,0,64,1370,0.00999258133189499
122,544,0,64,1190,0.00999258133189499
123,1504,0,128,2510,0.00999258133189499
124,1816,0,128,3010,0.00999258133189499
125,1556,0,128,2520,0.00999258133189499
126,3284,0,256,4420,0.00999258133189499
127,504,0,32,1160,0.00999258133189499
128,1440,0,128,2210,0.00999258133189499
129,1016,0,128,1880,0.00999258133189499
130,4,996,4,-4964960,0.00999258133189499
131,1908,0,128,3150,0.00999258133189499
132,652,0,32,1290,0.00999258133189499
133,3028,0,256,4170,0.00999258133189499
134,1136,0,64,1990,0.00999258133189499
135,856,0,64,1780,0.00999258133189499
136,1428,0,128,2260,0.00999258133189499
137,704,0,64,1510,0.00999258133189499
138,548,0,64,1240,0.00999258133189499
139,2384,0,128,3610,0.00999258133189499
140,0,1000,0,-5005000,0.00999258133189499
141,2616,0,256,3680,0.00999258133189499
142,824,0,64,1690,0.00999258133189499
143,3460,0,256,4660,0.00999258133189499
144,2176,0,128,3620,0.00999258133189499
145,1296,0,128,2180,0.00999258133189499
146,3064,0,256,4360,0.00999258133189499
147,3620,0,256,4670,0.00999258133189499
148,2056,0,256,2840,0.00999258133189499
149,2748,0,256,3830,0.00999258133189499
150,4,997,4,-4975020,0.00999258133189499
151,1496,0,128,2430,0.00999258133189499
152,944,0,64,1850,0.00999258133189499
153,3616,0,256,5040,0.00999258133189499
154,2624,0,256,3450,0.00999258133189499
155,2296,0,128,3320,0.00999258133189499
156,1376,0,128,2310,0.00999258133189499
157,3004,0,256,4440,0.00999258133189499
158,796,0,64,1810,0.00999258133189499
159,1796,0,128,3040,0.00999258133189499
160,4,997,4,-4974930,0.00999258133189499
161,1292,0,128,2140,0.00999258133189499
162,996,0,128,1630,0.00999258133189499
163,1164,0,128,1830,0.00999258133189499
164,1640,0,128,2470,0.00999258133189499
165,632,0,64,1380,0.00999258133189499
166,3152,0,256,4260,0.00999258133189499
167,2764,0,256,3380,0.00999258133189499
168,1592,0,128,2740,0.00999258133189499
169,1608,0,128,2520,0.00999258133189499
170,12,994,4,-4945030,0.00999258133189499
171,1364,0,128,2270,0.00999258133189499
172,2728,0,128,4050,0.00999258133189499
173,1748,0,128,2730,0.00999258133189499
174,1048,0,64,1940,0.00999258133189499
175,1692,0,128,2910,0.00999258133189499
176,2232,0,128,3620,0.00999258133189499
177,728,0,64,1400,0.00999258133189499
178,752,0,64,1510,0.00999258133189499
179,1704,0,128,2560,0.00999258133189499
180,44,986,8,-4865640,0.00999258133189499
181,1116,0,64,2050,0.00999258133189499
182,1100,0,64,2020,0.00999258133189499
183,956,0,64,1890,0.00999258133189499
184,1000,0,64,1900,0.00999258133189499
185,2776,0,256,3550,0.00999258133189499
186,1516,0,128,2440,0.00999258133189499
187,3568,0,256,4900,0.00999258133189499
188,2288,0,256,3350,0.00999258133189499
189,1204,0,128,2080,0.00999258133189499
190,4,998,4,-4984910,0.00999258133189499
191,2772,0,256,3980,0.00999258133189499
192,1520,0,128,2580,0.00999258133189499
193,692,0,64,1440,0.00999258133189499
194,792,0,64,1590,0.00999258133189499
195,2856,0,256,4000,0.00999258133189499
196,1448,0,128,2320,0.00999258133189499
197,2584,0,256,3520,0.00999258133189499
198,1708,0,128,2920,0.00999258133189499
199,1236,0,64,2220,0.00999258133189499
200,0,999,2,-4995000,0.00999258133189499
201,1476,0,128,2480,0.00999258133189499
202,1252,0,128,2220,0.00999258133189499
203,3728,0,256,4820,0.00999258133189499
204,2560,0,256,3670,0.00999258133189499
205,1156,0,128,2130,0.00999258133189499
206,2936,0,256,4000,0.00999258133189499
207,1896,0,128,3180,0.00999258133189499
208,2488,0,256,3430,0.00999258133189499
209,2056,0,256,2720,0.00999258133189499
210,72,979,8,-4796750,0.00999258133189499
211,720,0,64,1550,0.00999258133189499
212,620,0,64,1230,0.00999258133189499
213,2912,0,256,3880,0.00999258133189499
214,2012,0,128,3350,0.00999258133189499
215,3140,0,256,4450,0.00999258133189499
216,2904,0,256,3960,0.00999258133189499
217,1132,0,128,1900,0.00999258133189499
218,6804,0,512,7560,0.00999258133189499
219,1328,0,128,2280,0.00999258133189499
220,8,994,4,-4945040,0.00999258133189499
221,1072,0,128,1930,0.00999258133189499
222,3504,0,256,4700,0.00999258133189499
223,908,0,64,1780,0.00999258133189499
224,2672,0,256,3820,0.00999258133189499
225,2932,0,256,4010,0.00999258133189499
226,1020,0,64,1900,0.00999258133189499
227,1216,0,128,2100,0.00999258133189499
228,3412,0,256,4360,0.00999258133189499
229,1188,0,128,1960,0.00999258133189499
230,4,998,4,-4985000,0.00999258133189499
231,1332,0,128,2340,0.00999258133189499
232,976,0,64,2060,0.00999258133189499
233,720,0,32,1580,0.00999258133189499
234,952,0,64,1730,0.00999258133189499
235,1180,0,128,2110,0.00999258133189499
236,1528,0,128,2400,0.00999258133189499
237,984,0,64,1710,0.00999258133189499
238,1116,0,64,1850,0.00999258133189499
239,420,0,32,930,0.00999258133189499
240,0,999,4,-4994900,0.00999258133189499
241,2316,0,128,3320,0.00999258133189499
242,1260,0,128,2130,0.00999258133189499
243,3548,0,256,4880,0.00999258133189499
244,2812,0,256,4270,0.00999258133189499
245,1428,0,128,2330,0.00999258133189499
246,2880,0,256,3910,0.00999258133189499
247,5208,0,512,6100,0.00999258133189499
248,1492,0,128,2450,0.00999258133189499
249,3012,0,256,4290,0.00999258133189499
250,8,995,4,-4954990,0.00999258133189499
