Episode,Score,Invalid Moves,Highest Tile,Total Reward,Epsilon
1,1148,0,128,1220,0.1
2,1512,0,128,1590,0.1
3,1516,0,128,1690,0.1
4,828,0,64,960,0.1
5,2832,0,256,2510,0.1
6,1404,0,128,1420,0.1
7,2848,0,256,2540,0.1
8,3140,0,256,2850,0.1
9,844,0,64,860,0.1
10,4044,0,256,3660,0.1
11,2296,0,128,2330,0.1
12,576,0,64,730,0.1
13,3080,0,256,2880,0.1
14,2156,0,256,1810,0.1
15,2440,0,256,2160,0.1
16,3144,0,256,2840,0.1
17,1556,0,128,1620,0.1
18,1400,0,128,1490,0.1
19,1668,0,128,1730,0.1
20,2304,0,128,2300,0.1
21,1232,0,64,1360,0.1
22,1600,0,128,1750,0.1
23,868,0,64,950,0.1
24,2960,0,256,2650,0.1
25,392,0,32,600,0.1
26,1460,0,128,1410,0.1
27,980,0,64,1010,0.1
28,2140,0,256,1850,0.1
29,1628,0,128,1560,0.1
30,1312,0,64,1520,0.1
31,3240,0,256,2910,0.1
32,1160,0,64,1430,0.1
33,5400,0,512,4070,0.1
34,3048,0,256,2600,0.1
35,2920,0,256,2730,0.1
36,1084,0,128,1070,0.1
37,1416,0,128,1540,0.1
38,2200,0,256,1970,0.1
39,992,0,128,950,0.1
40,1636,0,128,1800,0.1
41,3092,0,256,2750,0.1
42,2632,0,256,2340,0.1
43,1484,0,128,1610,0.1
44,936,0,64,1090,0.1
45,2340,0,256,1950,0.1
46,772,0,64,970,0.1
47,656,0,64,850,0.1
48,1360,0,128,1420,0.1
49,2512,0,128,2370,0.1
50,3148,0,256,2710,0.1
51,624,0,64,750,0.1
52,2684,0,256,2430,0.1
53,3096,0,256,2790,0.1
54,1388,0,128,1430,0.1
55,1432,0,128,1570,0.1
56,2164,0,128,2130,0.1
57,2092,0,128,2120,0.1
58,1524,0,128,1620,0.1
59,3468,0,256,3090,0.1
60,2972,0,256,2550,0.1
61,1412,0,64,1620,0.1
62,1796,0,128,1750,0.1
63,576,0,64,690,0.1
64,2524,0,256,2280,0.1
65,2124,0,128,2080,0.1
66,1636,0,128,1730,0.1
67,5928,0,512,4440,0.1
68,780,0,64,970,0.1
69,748,0,64,970,0.1
70,1440,0,128,1470,0.1
71,500,0,64,600,0.1
72,532,0,64,660,0.1
73,1360,0,128,1450,0.1
74,1824,0,128,1900,0.1
75,1572,0,128,1690,0.1
76,1168,0,64,1430,0.1
77,1076,0,128,1080,0.1
78,3060,0,256,2650,0.1
79,1664,0,128,1650,0.1
80,1008,0,64,1220,0.1
81,892,0,64,1170,0.1
82,1816,0,128,1750,0.1
83,2336,0,256,2030,0.1
84,1512,0,128,1680,0.1
85,3488,0,256,3210,0.1
86,1312,0,128,1370,0.1
87,1072,0,128,1080,0.1
88,1508,0,128,1550,0.1
89,1028,0,128,1110,0.1
90,1944,0,128,1950,0.1
91,264,0,32,360,0.1
92,2432,0,256,2130,0.1
93,1692,0,128,1480,0.1
94,916,0,64,1060,0.1
95,1428,0,128,1450,0.1
96,296,0,32,440,0.1
97,1184,0,128,1190,0.1
98,2768,0,256,2500,0.1
99,512,0,64,610,0.1
100,512,0,64,590,0.1
101,916,0,64,1180,0.1
102,924,0,64,1070,0.1
103,1152,0,64,1350,0.1
104,1104,0,64,1230,0.1
105,2984,0,256,2610,0.1
106,584,0,64,690,0.1
107,2976,0,256,2560,0.1
108,820,0,64,1010,0.1
109,1444,0,128,1550,0.1
110,2216,0,256,2010,0.1
111,1576,0,128,1670,0.1
112,728,0,64,880,0.1
113,644,0,64,720,0.1
114,2772,0,256,2470,0.1
115,988,0,128,1040,0.1
116,3448,0,256,3050,0.1
117,1448,0,128,1470,0.1
118,1240,0,128,1220,0.1
119,656,0,64,800,0.1
120,3076,0,256,2870,0.1
121,2228,0,128,2290,0.1
122,1276,0,128,1300,0.1
123,604,0,64,670,0.1
124,1724,0,128,1760,0.1
125,5240,0,512,4030,0.1
126,1796,0,128,1850,0.1
127,1188,0,128,1100,0.1
128,3356,0,256,3070,0.1
129,1468,0,128,1570,0.1
130,1456,0,128,1610,0.1
131,2672,0,256,2330,0.1
132,1072,0,128,1150,0.1
133,1420,0,128,1480,0.1
134,1316,0,128,1360,0.1
135,1360,0,128,1360,0.1
136,776,0,64,980,0.1
137,648,0,64,770,0.1
138,1044,0,64,1190,0.1
139,688,0,64,830,0.1
140,2912,0,256,2710,0.1
141,2872,0,256,2390,0.1
142,3120,0,256,2750,0.1
143,1388,0,128,1430,0.1
144,536,0,32,710,0.1
145,544,0,32,710,0.1
146,1672,0,128,1810,0.1
147,1612,0,128,1820,0.1
148,628,0,64,760,0.1
149,2680,0,256,2450,0.1
150,2572,0,256,2410,0.1
151,1428,0,128,1440,0.1
152,880,0,64,1020,0.1
153,2028,0,256,1750,0.1
154,680,0,64,860,0.1
155,1448,0,128,1580,0.1
156,1520,0,128,1600,0.1
157,1304,0,128,1310,0.1
158,1872,0,128,1870,0.1
159,1396,0,128,1410,0.1
160,2304,0,256,2070,0.1
161,1476,0,128,1530,0.1
162,5332,0,512,4120,0.1
163,632,0,64,740,0.1
164,2660,0,128,2700,0.1
165,1996,0,128,1920,0.1
166,364,0,32,610,0.1
167,1236,0,128,1210,0.1
168,364,0,32,540,0.1
169,1708,0,128,1660,0.1
170,1352,0,128,1490,0.1
171,1688,0,128,1740,0.1
172,1368,0,128,1440,0.1
173,2020,0,128,1870,0.1
174,1904,0,128,1970,0.1
175,1172,0,128,1110,0.1
176,536,0,64,690,0.1
177,2352,0,256,2090,0.1
178,1204,0,64,1360,0.1
179,3068,0,256,2700,0.1
180,3248,0,256,2850,0.1
181,1176,0,64,1380,0.1
182,1032,0,128,1090,0.1
183,2188,0,128,2140,0.1
184,660,0,32,900,0.1
185,5376,0,512,4100,0.1
186,2752,0,256,2530,0.1
187,1628,0,128,1620,0.1
188,3300,0,256,2910,0.1
189,696,0,64,800,0.1
190,1136,0,128,1160,0.1
191,1624,0,128,1660,0.1
192,1252,0,128,1250,0.1
193,1044,0,64,1230,0.1
194,2972,0,256,2490,0.1
195,2016,0,256,1720,0.1
196,920,0,64,1220,0.1
197,1036,0,64,1200,0.1
198,5252,0,512,3990,0.1
199,1372,0,128,1440,0.1
200,2260,0,128,2180,0.1
201,1176,0,128,1300,0.1
202,632,0,64,750,0.1
203,932,0,64,1090,0.1
204,3188,0,256,2770,0.1
205,880,0,64,1050,0.1
206,1732,0,128,1810,0.1
207,652,0,64,770,0.1
208,1792,0,128,1850,0.1
209,436,0,32,610,0.1
210,1784,0,128,1710,0.1
211,1232,0,128,1180,0.1
212,2532,0,256,2330,0.1
213,3100,0,256,2840,0.1
214,1640,0,128,1600,0.1
215,2412,0,256,2140,0.1
216,836,0,64,930,0.1
217,1604,0,128,1780,0.1
218,1792,0,128,1900,0.1
219,1652,0,128,1670,0.1
220,1904,0,128,1980,0.1
221,1020,0,64,1180,0.1
222,948,0,64,1130,0.1
223,920,0,64,1090,0.1
224,3868,0,256,3270,0.1
225,356,0,32,410,0.1
226,1336,0,128,1270,0.1
227,2496,0,256,2280,0.1
228,1116,0,64,1270,0.1
229,1740,0,128,1810,0.1
230,1592,0,128,1690,0.1
231,2952,0,256,2610,0.1
232,728,0,64,830,0.1
233,960,0,64,1160,0.1
234,1148,0,64,1320,0.1
235,2848,0,256,2590,0.1
236,3100,0,256,2720,0.1
237,1684,0,128,1920,0.1
238,2928,0,256,2580,0.1
239,1544,0,128,1600,0.1
240,2004,0,128,1920,0.1
241,1764,0,128,1890,0.1
242,1428,0,128,1490,0.1
243,1060,0,128,1050,0.1
244,2984,0,256,2630,0.1
245,1688,0,128,1720,0.1
246,1312,0,128,1390,0.1
247,1248,0,128,1360,0.1
248,2256,0,128,2200,0.1
249,1700,0,128,1730,0.1
250,1560,0,128,1610,0.1
251,3104,0,256,2720,0.1
252,620,0,32,840,0.1
253,1444,0,128,1490,0.1
254,1116,0,128,1120,0.1
255,2092,0,256,1820,0.1
256,1184,0,128,1200,0.1
257,4732,0,512,3600,0.1
258,1768,0,128,1860,0.1
259,2288,0,256,1920,0.1
260,2780,0,256,2370,0.1
261,776,0,64,920,0.1
262,3144,0,256,2770,0.1
263,3356,0,256,2950,0.1
264,896,0,64,1140,0.1
265,976,0,64,1130,0.1
266,1516,0,128,1450,0.1
267,3136,0,256,2740,0.1
268,3200,0,256,2770,0.1
269,1700,0,128,1620,0.1
270,652,0,64,800,0.1
271,2080,0,128,1970,0.1
272,1052,0,64,1260,0.1
273,952,0,64,1130,0.1
274,7360,0,512,5680,0.1
275,1192,0,128,1260,0.1
276,3520,0,256,3360,0.1
277,1308,0,128,1360,0.1
278,2848,0,256,2440,0.1
279,1064,0,64,1220,0.1
280,3264,0,256,2950,0.1
281,1444,0,128,1460,0.1
282,2372,0,256,2130,0.1
283,1240,0,128,1240,0.1
284,4980,0,512,3760,0.1
